user_id,record_date,record_year,record_month,record_month_name,age,age_group,gender,education_level,employment_status,job_title,region,monthly_income_usd,annual_income_usd,monthly_expenses_usd,annual_expenses_usd,monthly_surplus_usd,expense_to_income_ratio,savings_usd,savings_rate,savings_to_income_ratio,emergency_fund_months,has_loan,loan_type,loan_amount_usd,loan_term_months,monthly_emi_usd,emi_to_income_ratio,loan_interest_rate_pct,debt_to_income_ratio,credit_score,income_group,financial_health_category
U00037,2023-12-28,2023,12,December,23,18-24,Female,Bachelor,Employed,Student,North America,5715.32,68583.84,2095.91,25150.92,-1940.95,0.37,341340.99,-0.34,4.98,162.86,Yes,Business,286165.04,60,5560.36,0.97,6.21,0.97,660,Middle,Needs Attention
U00038,2022-10-04,2022,10,October,20,18-24,Female,Other,Employed,Engineer,Africa,3680.12,44161.44,1287.07,15444.84,2393.05,0.35,235418.64,0.65,5.33,182.91,No,None,0.0,0,0.0,0.0,0.0,0.0,357,Lower-Middle,Healthy
U00039,2023-04-18,2023,4,April,62,55-64,Other,High School,Unemployed,Unemployed,North America,5687.15,68245.8,1963.55,23562.6,-957.4,0.35,119125.28,-0.17,1.75,60.67,Yes,Car,227815.99,120,4681.0,0.82,21.82,0.82,558,Middle,Needs Attention
U00040,2022-02-15,2022,2,February,28,25-34,Male,Other,Unemployed,Manager,Africa,1867.36,22408.32,1255.01,15060.12,-8390.37,0.67,63775.73,-4.49,2.85,50.82,Yes,Home,194745.92,24,9002.72,4.82,10.18,4.82,340,Low,Needs Attention
U00041,2024-07-30,2024,7,July,44,35-44,Female,Bachelor,Employed,Doctor,Other,970.85,11650.2,368.84,4426.08,602.01,0.38,9953.74,0.62,0.85,26.99,No,None,0.0,0,0.0,0.0,0.0,0.0,555,Low,Healthy
U00042,2022-04-16,2022,4,April,64,55-64,Female,High School,Unemployed,Salesperson,North America,5359.32,64311.84,1692.58,20310.96,3666.74,0.32,246120.6,0.68,3.83,145.41,No,None,0.0,0,0.0,0.0,0.0,0.0,523,Middle,Healthy
U00043,2023-07-25,2023,7,July,28,25-34,Female,Bachelor,Student,Engineer,Other,3770.92,45251.04,2069.83,24837.96,-7421.9,0.55,127007.45,-1.97,2.81,61.36,Yes,Home,346165.48,120,9122.99,2.42,29.99,2.42,736,Lower-Middle,Needs Attention
U00044,2022-04-10,2022,4,April,54,45-54,Female,Bachelor,Employed,Accountant,North America,6475.63,77707.56,2444.52,29334.24,4031.11,0.38,741726.83,0.62,9.55,303.42,No,None,0.0,0,0.0,0.0,0.0,0.0,745,Upper-Middle,Healthy
U00045,2024-11-19,2024,11,November,66,65+,Female,High School,Employed,Student,Africa,4484.67,53816.04,3423.56,41082.72,1061.11,0.76,282513.69,0.24,5.25,82.52,No,None,0.0,0,0.0,0.0,0.0,0.0,353,Middle,Needs Attention
U00046,2022-12-14,2022,12,December,22,18-24,Male,Master,Employed,Student,Africa,8094.8,97137.6,6096.05,73152.6,1998.75,0.75,606242.03,0.25,6.24,99.45,No,None,0.0,0,0.0,0.0,0.0,0.0,734,Upper-Middle,Needs Attention
U00047,2022-02-26,2022,2,February,51,45-54,Male,Bachelor,Employed,Driver,North America,3461.19,41534.28,2105.77,25269.24,-24038.13,0.61,326383.22,-6.95,7.86,154.99,Yes,Car,262277.54,12,25393.55,7.34,28.64,7.34,437,Lower-Middle,Needs Attention
U00048,2024-04-17,2024,4,April,27,25-34,Female,High School,Employed,Unemployed,North America,5435.08,65220.96,3236.98,38843.76,2198.1,0.6,218792.9,0.4,3.35,67.59,No,None,0.0,0,0.0,0.0,0.0,0.0,410,Middle,Moderate
U00049,2021-09-11,2021,9,September,40,35-44,Male,High School,Employed,Manager,Europe,5120.45,61445.4,2800.87,33610.44,2319.58,0.55,538000.21,0.45,8.76,192.08,No,None,0.0,0,0.0,0.0,0.0,0.0,360,Middle,Moderate
U00050,2025-04-14,2025,4,April,68,65+,Male,High School,Employed,Unemployed,Europe,2175.74,26108.88,768.52,9222.24,1407.22,0.35,33792.6,0.65,1.29,43.97,No,None,0.0,0,0.0,0.0,0.0,0.0,645,Lower-Middle,Healthy
U00051,2025-05-26,2025,5,May,66,65+,Female,Master,Employed,Accountant,Africa,7928.51,95142.12,4812.56,57750.72,-8815.22,0.61,157372.59,-1.11,1.65,32.7,Yes,Education,139161.95,12,11931.17,1.5,5.28,1.5,552,Upper-Middle,Needs Attention
U00052,2022-05-04,2022,5,May,32,25-34,Female,PhD,Employed,Student,Africa,3605.56,43266.72,2230.97,26771.64,-937.78,0.62,312952.9,-0.26,7.23,140.28,Yes,Car,126966.04,240,2312.37,0.64,21.55,0.64,662,Lower-Middle,Needs Attention
U00053,2021-12-26,2021,12,December,62,55-64,Female,Bachelor,Employed,Accountant,Africa,2457.83,29493.96,1569.03,18828.36,-4517.16,0.64,248428.48,-1.84,8.42,158.33,Yes,Home,60761.3,12,5405.96,2.2,12.26,2.2,324,Lower-Middle,Needs Attention
U00054,2024-05-24,2024,5,May,27,25-34,Female,Bachelor,Employed,Unemployed,Other,5152.35,61828.2,3359.87,40318.44,1792.48,0.65,462465.71,0.35,7.48,137.64,No,None,0.0,0,0.0,0.0,0.0,0.0,724,Middle,Moderate
U00055,2024-06-30,2024,6,June,23,18-24,Female,Master,Employed,Unemployed,Other,1202.86,14434.32,434.32,5211.84,-8892.57,0.36,23286.97,-7.39,1.61,53.62,Yes,Business,425557.94,300,9661.11,8.03,27.21,8.03,542,Low,Needs Attention
U00056,2022-08-18,2022,8,August,53,45-54,Other,Master,Employed,Doctor,Europe,5125.94,61511.28,1554.08,18648.96,3571.86,0.3,599929.66,0.7,9.75,386.04,No,None,0.0,0,0.0,0.0,0.0,0.0,740,Middle,Healthy
U00057,2023-03-06,2023,3,March,32,25-34,Female,Bachelor,Unemployed,Salesperson,Africa,2870.89,34450.68,1594.1,19129.2,-4599.17,0.56,176571.54,-1.6,5.13,110.77,Yes,Car,353907.82,180,5875.96,2.05,18.69,2.05,438,Lower-Middle,Needs Attention
U00058,2022-08-17,2022,8,August,30,25-34,Female,High School,Employed,Salesperson,Asia,1995.91,23950.92,674.67,8096.04,886.75,0.34,237128.63,0.44,9.9,351.47,Yes,Home,44846.19,120,434.49,0.22,3.07,0.22,849,Low,Healthy
U00059,2024-12-16,2024,12,December,47,45-54,Male,Master,Self-employed,Teacher,Africa,4742.29,56907.48,4092.62,49111.44,-6992.51,0.86,107794.57,-1.47,1.89,26.34,Yes,Business,361076.68,300,7642.18,1.61,25.35,1.61,528,Middle,Needs Attention
U00060,2023-12-13,2023,12,December,47,45-54,Female,High School,Employed,Doctor,Asia,2792.03,33504.36,1367.31,16407.72,1424.72,0.49,198487.74,0.51,5.92,145.17,No,None,0.0,0,0.0,0.0,0.0,0.0,594,Lower-Middle,Healthy
U00061,2023-01-20,2023,1,January,55,55-64,Female,Bachelor,Employed,Engineer,Asia,3521.64,42259.68,2205.01,26460.12,1316.63,0.63,383467.46,0.37,9.07,173.91,No,None,0.0,0,0.0,0.0,0.0,0.0,497,Lower-Middle,Moderate
U00062,2025-03-19,2025,3,March,24,18-24,Female,Master,Employed,Engineer,North America,5646.21,67754.52,3501.08,42012.96,2145.13,0.62,606371.55,0.38,8.95,173.2,No,None,0.0,0,0.0,0.0,0.0,0.0,849,Middle,Moderate
U00063,2022-05-21,2022,5,May,50,45-54,Female,Master,Employed,Doctor,Africa,7019.54,84234.48,5798.56,69582.72,1220.98,0.83,293692.72,0.17,3.49,50.65,No,None,0.0,0,0.0,0.0,0.0,0.0,458,Upper-Middle,Needs Attention
U00064,2024-03-10,2024,3,March,62,55-64,Male,Bachelor,Self-employed,Salesperson,Asia,4804.07,57648.84,2843.12,34117.44,1960.95,0.59,239165.22,0.41,4.15,84.12,No,None,0.0,0,0.0,0.0,0.0,0.0,710,Middle,Moderate
U00065,2023-06-25,2023,6,June,68,65+,Female,Master,Employed,Doctor,Africa,500.0,6000.0,288.6,3463.2,-3355.8,0.58,56868.63,-6.71,9.48,197.05,Yes,Education,70418.98,24,3567.2,7.13,19.51,7.13,759,Low,Needs Attention
U00066,2023-07-19,2023,7,July,53,45-54,Female,Master,Employed,Engineer,North America,6992.09,83905.08,4515.3,54183.6,2476.79,0.65,512364.61,0.35,6.11,113.47,No,None,0.0,0,0.0,0.0,0.0,0.0,328,Upper-Middle,Moderate
U00067,2021-07-30,2021,7,July,39,35-44,Female,High School,Employed,Doctor,North America,4111.45,49337.4,2692.03,32304.36,975.41,0.65,199822.72,0.24,4.05,74.23,Yes,Education,103584.32,360,444.01,0.11,3.13,0.11,543,Middle,Moderate
U00068,2024-02-04,2024,2,February,43,35-44,Female,Bachelor,Employed,Teacher,Other,6188.38,74260.56,5266.76,63201.12,-194.4,0.85,439026.61,-0.03,5.91,83.36,Yes,Car,71287.65,300,1116.02,0.18,18.6,0.18,479,Upper-Middle,Needs Attention
U00069,2024-12-23,2024,12,December,41,35-44,Male,Master,Employed,Teacher,Other,1965.62,23587.44,1723.15,20677.8,242.47,0.88,37073.82,0.12,1.57,21.52,No,None,0.0,0,0.0,0.0,0.0,0.0,775,Low,Needs Attention
U00070,2025-05-30,2025,5,May,57,55-64,Female,Bachelor,Employed,Student,Europe,5033.34,60400.08,2798.91,33586.92,709.04,0.56,484278.3,0.14,8.02,173.02,Yes,Home,96153.17,300,1525.39,0.3,18.86,0.3,670,Middle,Moderate
U00071,2023-11-15,2023,11,November,19,18-24,Female,Bachelor,Employed,Driver,Africa,3314.62,39775.44,2708.28,32499.36,-20951.18,0.82,376535.92,-6.32,9.47,139.03,Yes,Home,448817.77,24,21557.52,6.5,14.04,6.5,386,Lower-Middle,Needs Attention
U00072,2022-06-20,2022,6,June,49,45-54,Female,Master,Employed,Student,North America,3257.12,39085.44,1473.3,17679.6,1783.82,0.45,79793.7,0.55,2.04,54.16,No,None,0.0,0,0.0,0.0,0.0,0.0,627,Lower-Middle,Healthy
U00073,2021-11-20,2021,11,November,64,55-64,Female,Master,Employed,Manager,Africa,3519.35,42232.2,2580.95,30971.4,938.4,0.73,361988.87,0.27,8.57,140.25,No,None,0.0,0,0.0,0.0,0.0,0.0,751,Lower-Middle,Needs Attention
U00074,2025-04-29,2025,4,April,54,45-54,Male,Bachelor,Employed,Teacher,Europe,3250.36,39004.32,1000.46,12005.52,-24.33,0.31,36918.93,-0.01,0.95,36.9,Yes,Car,62265.67,36,2274.23,0.7,18.74,0.7,381,Lower-Middle,Needs Attention
U00075,2024-07-15,2024,7,July,18,18-24,Female,Bachelor,Employed,Teacher,Other,3341.34,40096.08,2667.7,32012.4,673.64,0.8,141034.04,0.2,3.52,52.87,No,None,0.0,0,0.0,0.0,0.0,0.0,525,Lower-Middle,Needs Attention
U00076,2022-11-03,2022,11,November,61,55-64,Male,Other,Self-employed,Engineer,North America,3806.35,45676.2,3125.32,37503.84,681.03,0.82,224981.27,0.18,4.93,71.99,No,None,0.0,0,0.0,0.0,0.0,0.0,427,Lower-Middle,Needs Attention
U00077,2024-07-23,2024,7,July,67,65+,Male,Bachelor,Employed,Accountant,Europe,2754.29,33051.48,2206.07,26472.84,548.22,0.8,325411.04,0.2,9.85,147.51,No,None,0.0,0,0.0,0.0,0.0,0.0,408,Lower-Middle,Needs Attention
U00078,2021-11-08,2021,11,November,40,35-44,Female,Master,Employed,Doctor,Africa,3163.71,37964.52,1894.6,22735.2,1269.11,0.6,29044.24,0.4,0.77,15.33,No,None,0.0,0,0.0,0.0,0.0,0.0,677,Lower-Middle,Moderate
U00079,2023-07-05,2023,7,July,40,35-44,Male,High School,Employed,Unemployed,Europe,2186.84,26242.08,1486.74,17840.88,700.1,0.68,131034.87,0.32,4.99,88.14,No,None,0.0,0,0.0,0.0,0.0,0.0,700,Lower-Middle,Moderate
U00080,2023-07-04,2023,7,July,38,35-44,Male,Bachelor,Employed,Unemployed,Other,5688.88,68266.56,4225.81,50709.72,1463.07,0.74,62785.22,0.26,0.92,14.86,No,None,0.0,0,0.0,0.0,0.0,0.0,328,Middle,Needs Attention
U00081,2023-08-26,2023,8,August,28,25-34,Male,Bachelor,Self-employed,Student,Asia,5082.0,60984.0,2734.06,32808.72,-376.36,0.54,582120.37,-0.07,9.55,212.91,Yes,Business,108255.25,60,2724.3,0.54,17.58,0.54,766,Middle,Needs Attention
U00082,2024-08-24,2024,8,August,69,65+,Male,Bachelor,Employed,Teacher,North America,4265.87,51190.44,2875.19,34502.28,-5308.06,0.67,245455.57,-1.24,4.79,85.37,Yes,Business,364366.19,360,6698.74,1.57,22.03,1.57,341,Middle,Needs Attention
U00083,2022-06-16,2022,6,June,56,55-64,Male,High School,Employed,Driver,Europe,5243.62,62923.44,2708.77,32505.24,2534.85,0.52,63342.67,0.48,1.01,23.38,No,None,0.0,0,0.0,0.0,0.0,0.0,316,Middle,Moderate
U00084,2024-09-14,2024,9,September,66,65+,Male,Bachelor,Unemployed,Manager,North America,859.55,10314.6,587.39,7048.68,272.16,0.68,78540.06,0.32,7.61,133.71,No,None,0.0,0,0.0,0.0,0.0,0.0,499,Low,Moderate
U00085,2021-11-07,2021,11,November,35,35-44,Female,Bachelor,Student,Student,Africa,500.0,6000.0,186.16,2233.92,-9666.03,0.37,44022.81,-19.33,7.34,236.48,Yes,Business,485558.06,240,9979.87,19.96,24.47,19.96,522,Low,Needs Attention
U00086,2025-03-29,2025,3,March,56,55-64,Male,Bachelor,Self-employed,Manager,North America,3441.0,41292.0,1507.18,18086.16,-1353.58,0.44,53415.83,-0.39,1.29,35.44,Yes,Education,265602.3,240,3287.4,0.96,13.92,0.96,338,Lower-Middle,Needs Attention
U00087,2021-09-27,2021,9,September,21,18-24,Female,Bachelor,Self-employed,Teacher,Africa,5426.8,65121.6,4228.94,50747.28,442.39,0.78,649884.11,0.08,9.98,153.68,Yes,Home,45183.16,120,755.47,0.14,15.95,0.14,571,Middle,Needs Attention
U00088,2025-04-08,2025,4,April,64,55-64,Male,High School,Employed,Doctor,North America,4094.03,49128.36,3040.02,36480.24,-5900.09,0.74,121047.06,-1.44,2.46,39.82,Yes,Home,149204.44,24,6954.1,1.7,11.0,1.7,592,Middle,Needs Attention
U00089,2024-02-05,2024,2,February,65,65+,Male,Other,Employed,Engineer,Asia,2093.08,25116.96,1829.04,21948.48,-4430.28,0.87,200938.05,-2.12,8.0,109.86,Yes,Business,209372.81,300,4694.32,2.24,26.87,2.24,643,Lower-Middle,Needs Attention
U00090,2024-05-18,2024,5,May,30,25-34,Other,Master,Employed,Manager,Europe,3449.75,41397.0,2986.24,35834.88,463.51,0.87,270384.58,0.13,6.53,90.54,No,None,0.0,0,0.0,0.0,0.0,0.0,792,Lower-Middle,Needs Attention
U00091,2022-09-13,2022,9,September,60,55-64,Male,Bachelor,Employed,Driver,Europe,4937.13,59245.56,3346.72,40160.64,1590.41,0.68,132805.31,0.32,2.24,39.68,No,None,0.0,0,0.0,0.0,0.0,0.0,319,Middle,Moderate
U00092,2023-10-10,2023,10,October,66,65+,Male,Bachelor,Self-employed,Engineer,Europe,5016.38,60196.56,1968.11,23617.32,-2900.24,0.39,492212.1,-0.58,8.18,250.09,Yes,Business,374187.93,360,5948.51,1.19,19.01,1.19,656,Middle,Needs Attention
U00093,2021-08-15,2021,8,August,28,25-34,Female,Bachelor,Employed,Accountant,Europe,3861.95,46343.4,3317.24,39806.88,-2864.28,0.86,341949.66,-0.74,7.38,103.08,Yes,Business,186971.57,300,3408.99,0.88,21.78,0.88,475,Lower-Middle,Needs Attention
U00094,2022-10-19,2022,10,October,35,35-44,Male,Bachelor,Self-employed,Salesperson,Other,3624.84,43498.08,3243.82,38925.84,381.02,0.89,30840.95,0.11,0.71,9.51,No,None,0.0,0,0.0,0.0,0.0,0.0,617,Lower-Middle,Needs Attention
U00095,2025-03-31,2025,3,March,68,65+,Female,Bachelor,Self-employed,Engineer,Other,4480.05,53760.6,3113.95,37367.4,1366.1,0.7,458081.12,0.3,8.52,147.11,No,None,0.0,0,0.0,0.0,0.0,0.0,662,Middle,Moderate
U00096,2025-07-16,2025,7,July,42,35-44,Female,High School,Self-employed,Student,Europe,4611.11,55333.32,3822.53,45870.36,788.58,0.83,532141.72,0.17,9.62,139.21,No,None,0.0,0,0.0,0.0,0.0,0.0,330,Middle,Needs Attention
U00097,2024-12-18,2024,12,December,27,25-34,Female,Bachelor,Student,Teacher,Europe,4836.51,58038.12,2923.58,35082.96,-833.8,0.6,9472.99,-0.17,0.16,3.24,Yes,Home,163890.35,360,2746.73,0.57,20.06,0.57,522,Middle,Needs Attention
U00098,2021-08-15,2021,8,August,41,35-44,Female,High School,Employed,Student,Africa,4800.82,57609.84,2999.36,35992.32,806.39,0.62,554991.36,0.17,9.63,185.04,Yes,Business,90569.16,120,995.07,0.21,5.77,0.21,495,Middle,Moderate
U00099,2022-02-06,2022,2,February,49,45-54,Female,PhD,Employed,Unemployed,Other,3532.02,42384.24,1182.35,14188.2,2349.67,0.33,35580.5,0.67,0.84,30.09,No,None,0.0,0,0.0,0.0,0.0,0.0,569,Lower-Middle,Healthy
U00100,2024-02-05,2024,2,February,29,25-34,Female,High School,Self-employed,Student,Europe,7693.61,92323.32,2611.02,31332.24,-4.15,0.34,760095.88,-0.0,8.23,291.11,Yes,Business,385433.3,240,5086.74,0.66,15.04,0.66,729,Upper-Middle,Needs Attention
U00101,2024-02-18,2024,2,February,46,45-54,Female,High School,Unemployed,Student,Africa,2914.79,34977.48,2343.4,28120.8,-12752.3,0.8,271108.54,-4.38,7.75,115.69,Yes,Car,137356.5,12,13323.69,4.57,29.01,4.57,739,Lower-Middle,Needs Attention
U00102,2024-01-16,2024,1,January,46,45-54,Female,Bachelor,Self-employed,Unemployed,Europe,5754.2,69050.4,4350.5,52206.0,-18973.23,0.76,309260.01,-3.3,4.48,71.09,Yes,Home,447155.5,24,20376.93,3.54,8.75,3.54,823,Middle,Needs Attention
